"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"233",="3023","信邦","市","01/13","194.5","+0.5","+0.26","10","24","24.01","467","36.1","24.7","","","有","","","","電子零組件業","王紹新","梁偉銘"
"234",="5469","瀚宇博","市","01/13","96","-1","-1.03","10","48.6","48.62","467","36.8","24.9","","","有","","","","電子零組件業","焦佑衡","陶正國"
"235",="5904","寶雅","櫃","01/13","437","-3","-0.68","10","10.6","10.64","465","28.8","23.4","有","","","","","","居家生活","陳建造","陳宗成"
"236",="1736","喬山","市","01/13","152.5","+3","+2.01","10","30.3","30.34","463","50.3","23","","","有","有","","","運動休閒","羅崑泉","羅光廷"
"237",="1210","大成","市","01/13","51.7","+0.1","+0.19","10","89.5","89.48","463","65","47.7","有","","有","","","","食品工業","韓家宇","韓芳豪"
"238",="9941","裕融","市","01/13","80.1","-0.7","-0.87","10","67.6","57.56","461","35.8","26.1","","","","有","","有","其他業","嚴陳莉蓮","闕源龍"
"239",="6548","長科*","櫃","01/13","48.2","-0.25","-0.52","0.4","3.8","95.05","458","16.1","9.34","","","有","","","","半導體業","洪全成","洪全成"
"240",="2867","三商壽","市","01/13","7.73","-0.01","-0.13","10","590","590","456","32.6","13.1","","","有","有","","","保險業","翁肇喜","陳宏昇"
"241",="1722","台肥","市","01/13","46.45","+0.3","+0.65","10","98","98","455","79.7","27.8","有","","","","","","化學工業","張滄郎","陳右欣"
"242",="00922","國泰台灣領袖50","市","01/13","27.38","+0.07","+0.26","","","164.9","451","2.8","2.8","","","","","","","國內成分股ETF","李偉正","張雍川"
"243",="3211","順達","櫃","01/13","292.5","-5.5","-1.85","10","15.4","15.4","451","27.5","21.2","","","有","","","","電腦及週邊設備業","鍾聰明","張崇興"
"244",="1215","卜蜂","市","01/13","151.5","+10.5","+7.45","10","29.5","29.48","447","48.4","38.5","","","有","","","","食品工業","鄭武樾","許瑞通"
"245",="6282","康舒","市","01/13","52","+3.25","+6.67","10","85.6","85.6","445","44.5","22.4","有","","有","有","","","電子零組件業","許介立","許介立"
"246",="2540","愛山林","市","01/13","47","+0.4","+0.86","10","94.5","94.49","444","39.4","36.1","","","","有","","","建材營造業","祝文宇","祝藝"
"247",="2504","國產","市","01/13","37.6","-0.4","-1.05","10","118","118","444","71.1","47.8","","","有","","","","建材營造業","徐蘭英","吳志仁"
"248",="3035","智原","市","01/13","167.5","-3","-1.76","10","26.1","26.06","436","32.6","26.2","有","","有","","","","半導體業","洪嘉聰","王國雍"
"249",="2855","統一證","市","01/13","27.15","+0.5","+1.88","10","160","160.1","435","37.1","26.9","","","","","","","證券業","林寬成","楊凱智"
"250",="00712","復華富時不動產","市","01/13","9.47","-0.03","-0.32","","","459.1","435","8.4","8.4","","","有","","","","固定收益ETF","杜俊雄","張偉智"
"251",="3376","新日興","市","01/13","222","-12","-5.13","10","19.6","19.58","435","57.5","20.1","有","","有","有","","","電子零組件業","呂勝男","阮朝宗"
"252",="3363","上詮","櫃","01/13","415.5","-17.5","-4.04","10","10.4","10.36","431","30.6","14.9","","","","有","有","","通信網路業","林松福","胡頂達"
"253",="1907","永豐餘","市","01/13","25.65","+0.35","+1.38","10","166","166","426","75.9","48.9","有","","","","","","造紙工業","葉惠青","駱秉正"
"254",="5903","全家","櫃","01/13","190.5","0","0","10","22.3","22.32","425","37.4","23.9","","","","","","","居家生活","葉榮廷","薛東都"
"255","2882B","國泰金乙特","市","01/13","60.1","-0.1","-0.17","","","70","421","","7.44","","","","","","","金控業","",""
"256",="00757","統一FANG+","市","01/13","118.1","+0.75","+0.64","","","35.5","419","7.1","7.11","有","","有","","","","國外成分股ETF","鄧潤澤","董永寬"
"257",="3006","晶豪科","市","01/13","146.5","+0.5","+0.34","10","28.6","28.62","419","27.6","23.9","有","","有","有","","","半導體業","張明鑒","張明鑒"
"258",="2211","長榮鋼","市","01/13","100.5","-0.5","-0.5","10","41.7","41.71","419","53","4.76","","","有","","","","鋼鐵工業","林耿立","劉邦恩"
"259",="6213","聯茂","市","01/13","115","-2","-1.71","10","36.3","36.3","417","28.8","23","有","","有","有","","","電子零組件業","陳進財","蔡馨(日彗)"
